Contest Title,Party,Candidate,ABERNANT BAPT CH,ABSENTEE,ALBERTA BAPT CH,BELK ACTIVITY CTR,BIG SANDY BAPT,BOBBY MILLER ACTIVITY,BUHL VFD STATION,CARROLLS CRK BAPT CH,CH OF THE HIGHLANDS,CHAPEL HILL BAPT,COALING TOWN HALL,COKER FIRE DEPT,COMM CH COTTONDALE,CORNERSTONE BAPT CH,COTTONDALE METHODIST CH,COUNTY CTHS ANNEX,COUNTY RD CAMP #3,DUNCANVILLE MIDDLE SCH,ECHOLA FIRE DEPT,ELROD VFD STATION,FAUCETT VESTAVIA HILLS ELEM,FLATWOODS BAPT CH,FOREST LAKE METHODIST,FOSTERS FIRE DEPT,G_G_ HARDIN COMM CTR,GRACE PRES_ CHURCH,HAGLER COMM CTR,KELLERMAN ANTIOCH BAPT,LAKEVIEW BAPT CH,MARY PHELPS CTR,MAYFIELD FIRE DEPT,MCABEE CTR,MCDONALD HUGHES COMM,MONTGOMERY FIRE DEPT,MT OLIVE BAPT CH,NEW LIFE BAPT CH,NEW ZION MISSIONARY CH,NORTHPORT CITY HALL,NORTHPORT COMM CTR,NORTHSIDE LIONS CLUB,PETERSON COMM CH,PROVISIONAL,ROMULUS FIRE DEPT_,SHERIFF FIRING RANGE,SOMA CH,STATION #2 CARROLLS CRK,STILLMAN COLLEGE,TANNEHILL VALLEY BAPT,U OF A STUDENT REC CTR,UNITY BAPT CH,UNIVERSITY MALL,VANCE TOWN HALL,WESLEY CHAPEL METHODIST CH,WHITSON PLACE CH,WINDHAM SPRINGS BAPT CH,YELLOW CRK BAPT CH
REGISTERED VOTERS - TOTAL                               ,   ,Registered Voters - Total             ,1500.0,0,5847.0,8983.0,4534.0,10573.0,656.0,4828.0,6120.0,3638.0,2605.0,1085.0,2558.0,2589.0,1844.0,3027.0,902.0,3185.0,438.0,480.0,4105.0,3378.0,1583.0,1674.0,2222.0,5212.0,347.0,300.0,3910.0,6062.0,145.0,3432.0,3757.0,1334.0,1892.0,4118.0,1621.0,5115.0,3413.0,1346.0,1192.0,0,518.0,465.0,2911.0,1485.0,5376.0,2629.0,6529.0,710.0,3306.0,2248.0,926.0,54.0,322.0,940.0
BALLOTS CAST - TOTAL                                    ,   ,Ballots Cast - Total                  ,958.0,12905,2505.0,3700.0,2804.0,5338.0,424.0,3142.0,3166.0,2288.0,1629.0,737.0,1317.0,910.0,1055.0,867.0,634.0,1823.0,317.0,281.0,2109.0,1992.0,656.0,1062.0,1283.0,2083.0,241.0,182.0,2631.0,3646.0,111.0,1699.0,1683.0,933.0,1284.0,1641.0,761.0,2859.0,1697.0,888.0,685.0,271,328.0,326.0,1315.0,1112.0,2071.0,1880.0,1243.0,422.0,1501.0,1439.0,668.0,41.0,234.0,644.0
BALLOTS CAST - BLANK                                    ,   ,Ballots Cast - Blank                  ,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",REP,Stan Acker                            ,,2120,,,,,,2853.0,2464.0,1947.0,,,,,,,539.0,,281.0,,1643.0,1435.0,,,,,,,,2960.0,99.0,,,868.0,1128.0,,,2192.0,,811.0,,62,,311.0,,977.0,,,,,,,,38.0,217.0,583.0
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",NON,Write-In                              ,,83,,,,,,17.0,44.0,25.0,,,,,,,2.0,,0.0,,31.0,52.0,,,,,,,,27.0,1.0,,,4.0,9.0,,,54.0,,4.0,,2,,2.0,,8.0,,,,,,,,0.0,0.0,3.0
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",   ,Over Votes                            ,,0,,,,,,0.0,1.0,0.0,,,,,,,0.0,,0.0,,0.0,1.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0,,0.0,,0.0,,,,,,,,0.0,0.0,0.0
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 1    ",   ,Under Votes                           ,,1881,,,,,,272.0,657.0,316.0,,,,,,,93.0,,36.0,,435.0,504.0,,,,,,,,659.0,11.0,,,61.0,147.0,,,613.0,,73.0,,20,,13.0,,127.0,,,,,,,,3.0,17.0,58.0
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 2    ",REP,Jerry Tingle                          ,846.0,634,396.0,,,,,,,,1407.0,,974.0,,807.0,435.0,,,,,,,,,1136.0,,,174.0,2370.0,,,136.0,,,,,,,,,601.0,22,,,569.0,,,1555.0,391.0,,,1228.0,,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 2    ",NON,Write-In                              ,6.0,62,104.0,,,,,,,,19.0,,34.0,,26.0,16.0,,,,,,,,,18.0,,,0.0,26.0,,,10.0,,,,,,,,,4.0,5,,,60.0,,,30.0,30.0,,,20.0,,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 2    ",   ,Over Votes                            ,0.0,0,0.0,,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,0.0,0,,,0.0,,,0.0,0.0,,,0.0,,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 2    ",   ,Under Votes                           ,106.0,862,767.0,,,,,,,,203.0,,309.0,,222.0,202.0,,,,,,,,,129.0,,,8.0,235.0,,,64.0,,,,,,,,,80.0,10,,,686.0,,,295.0,225.0,,,191.0,,,,
