GEOID20,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
011250123062014,1325,0,1357,26,1556,0,14,0,0,0,0,0,0,0,14,1554,931,0,947,24,1167,0,12,0,0,0,0,0,0,0,12,1169
011250112001007,3328,430,2899,2038,604,2,14,0,0,0,0,6,0,35,20,769,3139,433,2709,1861,583,2,14,0,0,0,0,7,12,37,21,752
011250124033000,1540,201,1349,544,756,0,0,0,0,64,0,0,0,0,0,814,1202,132,1084,446,645,0,0,0,0,0,0,0,0,0,0,645
011250117033002,819,0,823,11,810,0,0,0,0,0,0,0,0,0,0,812,602,0,604,11,592,0,0,0,0,0,0,0,0,0,0,593
011250116003125,773,5,777,310,501,0,0,0,0,0,0,0,0,0,0,501,792,4,797,313,528,0,0,0,0,0,0,0,0,0,0,528
011250124041033,849,9,855,94,555,0,0,0,0,0,0,0,0,0,0,552,758,8,761,95,522,0,0,0,0,0,0,0,0,0,0,521
011250123051001,793,0,797,96,662,0,0,0,0,0,0,0,5,3,0,667,613,0,616,99,486,0,0,0,0,0,0,0,0,0,0,486
011250124082001,700,63,626,15,613,0,0,0,0,0,0,0,0,0,0,605,532,31,497,16,474,0,0,0,0,0,0,0,0,0,0,470
011250124062009,550,0,562,32,586,0,0,0,0,0,0,0,0,0,0,583,427,0,435,28,452,0,0,0,0,0,0,0,0,0,0,450
011250117032001,486,0,492,5,477,0,0,0,0,10,0,0,0,0,0,492,413,0,415,5,410,0,0,0,0,3,0,0,0,0,0,414
011250125032000,1016,0,1025,474,454,0,63,0,1,6,0,0,0,0,69,457,842,0,845,357,380,0,59,0,0,3,0,0,0,0,73,384
011250108042002,413,32,359,56,462,7,0,0,0,2,0,0,0,5,0,455,327,15,286,60,364,3,0,0,0,0,0,0,0,1,0,346
011250124081002,535,0,547,16,552,0,0,0,0,0,0,0,0,0,0,549,338,0,347,13,347,0,0,0,0,0,0,0,0,0,0,345
011250123053004,518,0,520,61,463,0,0,0,0,0,0,0,0,0,0,457,405,0,406,63,342,0,0,0,0,0,0,0,0,0,0,339
011250112001006,1913,200,1685,1258,263,0,10,0,26,52,0,10,0,0,17,338,1800,201,1570,1145,254,0,10,0,26,66,0,10,7,0,17,331
011250123041013,600,25,573,91,480,0,0,0,0,0,0,0,0,0,0,476,449,31,420,95,326,0,0,0,0,0,0,0,0,0,0,324
011250108022001,647,1,680,296,395,0,2,0,0,0,0,0,0,1,1,384,509,0,524,205,327,0,2,0,0,0,0,0,0,1,2,322
011250125052004,964,0,976,612,367,0,0,0,0,0,9,0,0,9,0,363,801,0,814,477,324,0,0,0,0,0,11,0,0,10,0,320
011250127003002,723,32,699,251,388,0,63,0,0,0,0,0,0,0,34,387,527,10,539,190,317,0,56,0,0,0,0,0,0,0,27,315
011250123052006,748,4,756,346,370,0,13,0,0,0,8,0,0,6,11,361,650,4,652,304,315,0,14,0,0,0,4,0,0,4,13,310
011250124081000,469,0,479,11,482,0,0,0,0,0,0,0,0,0,0,483,295,0,303,9,302,0,0,0,0,0,0,0,0,0,0,304
011250124042007,569,0,587,328,293,0,0,0,0,5,0,0,0,0,0,298,585,0,599,328,292,0,0,0,0,4,0,0,0,0,0,296
011250107052037,806,1,813,414,373,0,0,0,0,1,0,0,0,0,0,379,635,0,639,330,293,0,0,0,0,0,0,0,0,0,0,293
011250117031000,434,0,435,10,411,0,0,0,0,11,0,0,0,0,0,426,290,0,293,14,284,0,0,0,0,0,0,0,0,0,0,284
