candidate_code,name,party
G20PRERTRU , Donald J. Trump ,Republican Party
G20PREDBID , Joseph R. Biden ,Democratic Party
G20PRELJOR , Jo Jorgensen ,Libertarian Party
G20PREOWRI , Write in Votes,
,,
G20USSRTUB , Tommy Tuberville ,Republican Party
G20USSDJON , Doug Jones ,Democratic Party
G20USSOWRI , Write in Votes,
,,
G20SSCRSHA , Greg Shaw ,Republican Party
G20SSCOWRI , Write in Votes,
,,
G20SSCRMEN , Brad Mendheim ,Republican Party
G20SSCOWR2 , Write in Votes,
,,
G20SACRTHO ," William C. ""Bill"" Thompson ",Republican Party
G20SACOWRI , Write in Votes,
,,
G20SACRFRI , Matt Fridy ,Republican Party
G20SACOWR2 , Write in Votes,
,,
G20SCCRWIN , Mary Windom ,Republican Party
G20SCCOWRI , Write in Votes,
,,
G20SCCRKEL , Beth Kellum ,Republican Party
G20SCCOWR2 , Write in Votes,
,,
G20PSCRCAV , Twinkle Andress Cavanaugh ,Republican Party
G20PSCDCAS , Laura Casey ,Democratic Party
G20PSCOWRI , Write in Votes,
